x,y
907.808000,5.5E-4
908.857000,5.5E-4
909.907000,5.5E-4
910.946000,5.5E-4
911.985000,5.5E-4
913.035000,5.5E-4
914.074000,5.5E-4
915.124000,5.5E-4
916.173000,5.5E-4
917.223000,5.5E-4
918.262000,5.5E-4
919.302000,5.5E-4
920.341000,5.5E-4
921.380000,5.5E-4
922.430000,5E-4
923.479000,5.5E-4
924.519000,5.5E-4
925.568000,5.5E-4
926.608000,5.5E-4
927.657000,5.5E-4
928.707000,5.5E-4
929.746000,5E-4
930.785000,5E-4
931.825000,5E-4
932.864000,5.5E-4
933.914000,5.5E-4
934.963000,5E-4
936.003000,5.5E-4
937.052000,5E-4
938.092000,5E-4
939.131000,5E-4
940.170000,5E-4
941.210000,5E-4
942.249000,5E-4
943.299000,5E-4
944.338000,5E-4
945.378000,5E-4
946.417000,5E-4
947.457000,5E-4
948.496000,4.5E-4
949.535000,5E-4
950.575000,5E-4
951.614000,5E-4
952.654000,5E-4
953.693000,5E-4
954.733000,5E-4
955.772000,5E-4
956.812000,5E-4
957.851000,4.5E-4
958.890000,5E-4
959.930000,4.5E-4
960.969000,4.5E-4
962.009000,5E-4
963.048000,5E-4
964.088000,5E-4
965.127000,5E-4
966.167000,5E-4
967.206000,5E-4
968.245000,4.5E-4
969.285000,4.5E-4
970.324000,5E-4
971.364000,5E-4
972.403000,5E-4
973.443000,5E-4
974.482000,5E-4
975.522000,4.5E-4
976.561000,5E-4
977.600000,5E-4
978.640000,4.5E-4
979.679000,5E-4
980.719000,4.5E-4
981.758000,5E-4
982.798000,5E-4
983.837000,4.5E-4
984.877000,4.5E-4
985.916000,4.5E-4
986.955000,5E-4
987.995000,4.5E-4
989.034000,4.5E-4
990.074000,4.5E-4
991.113000,5E-4
992.153000,4.5E-4
993.192000,5E-4
994.232000,5E-4
995.271000,4E-4
996.310000,4.5E-4
997.350000,4.5E-4
998.389000,5E-4
999.429000,4.5E-4
1000.468000,4.5E-4
1001.508000,5E-4
1002.547000,4.5E-4
1003.587000,4.5E-4
1004.626000,4.5E-4
1005.665000,4.5E-4
1006.705000,4.5E-4
1007.744000,4E-4
1008.784000,4.5E-4
1009.823000,4.5E-4
1010.863000,4E-4
1011.902000,4.5E-4
1012.942000,4E-4
1013.981000,4.5E-4
1015.021000,4E-4
1016.060000,4.5E-4
1017.099000,4.5E-4
1018.139000,4E-4
1019.178000,4.5E-4
1020.218000,4E-4
1021.257000,4E-4
1022.297000,4.5E-4
1023.336000,4.5E-4
1024.376000,4.5E-4
1025.415000,4.5E-4
1026.454000,4.5E-4
1027.494000,4.5E-4
1028.533000,4.5E-4
1029.573000,4.5E-4
1030.612000,4E-4
1031.652000,4.5E-4
1032.691000,4.5E-4
1033.731000,4.5E-4
1034.770000,4.5E-4
1035.809000,4E-4
1036.849000,4.5E-4
1037.888000,4E-4
1038.928000,4E-4
1039.967000,4E-4
1041.007000,4E-4
1042.046000,4E-4
1043.086000,4E-4
1044.125000,4.5E-4
1045.164000,4E-4
1046.204000,4E-4
1047.243000,4.5E-4
1048.283000,4E-4
1049.322000,4.5E-4
1050.362000,4E-4
1051.401000,4E-4
1052.441000,4E-4
1053.480000,4E-4
1054.519000,4E-4
1055.559000,4E-4
