time	temp_1	temp_2	temp_3	temp_4	temp_5	temp_6	temp_7	temp_8	temp_9	temp_10	temp_11	temp_12	temp_13	temp_14
1290.86	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	49.00
1291.68	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	49.00
1292.45	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	49.00
1293.27	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	49.00
1294.12	29.75	31.06	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	49.00
1294.89	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	49.00
1295.70	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	49.00
1296.52	29.75	31.06	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	49.00
1297.33	29.75	31.06	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	49.00
1298.15	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.75	49.00
1298.96	29.75	31.06	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	49.00
1299.78	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	49.00
1300.59	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	49.00
1301.40	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.44	47.75	49.00
1302.22	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1303.04	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1303.85	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.44	47.75	49.00
1304.66	29.75	31.06	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1305.51	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1306.29	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1307.10	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1307.91	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1308.74	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
1309.55	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.75	42.88	45.50	47.75	49.00
